Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1587827	0.0306636253739107	0.0449295911370347	0.0526518129604061	0.0762829392103052	0.0266640104324634	0.0828475523001332	0.0504329852065382	0	0	0.129141846145203	0.0195761935065403	0	0.395390351629011	0.0144763735605951	0	0	0	0.0110434716866681	0.020035275242933	0	0.00461062544346391	0.0412533461647943	9999	0.576658318861165	0.823058519550463
GSM1587828	0	0.00115884697254858	0.00218730142803118	0.142754212289958	0.0125149690326988	0.0949440649577972	0.0728285281176693	0	0	0.0525777754659229	0.0661820501103343	0	0.429311464941737	0.0117288181311564	0	0	0	0.00121234510540003	0.0197064314746461	0	0.0435964635902333	0.0492967283818669	9999	0.597328110300698	0.808052445785737
GSM1587829	0	0.0149816668814753	0.0054839871670188	0.0263254877691333	0.0321675124339688	0.0237065826187628	0.0787368633303583	0	0	0.0538777739777989	0.0781217922223785	0	0.584481004061374	0.02393589895873	0	0	0	0	0.0274979899883197	0	0.0217597327878416	0.0289237078028394	9999	0.621400025773559	0.7873888897186
GSM1587830	0	0.00757588724362573	0.00195070458086632	0	0.155914291524472	0.101833600928479	0.0699976582878105	0	0.000363284898095222	0.096662153258654	0.130307759405767	0	0.395313449733827	0.00517472384489454	0	0	0	0.000471527800715058	0.0161268488436644	0	0.0183081096491288	0	9999	0.614998880367917	0.798357812989542
GSM1587831	0.288865129953959	0.404379954819267	0	0.038109424308544	0.0253640668646331	0.00617445989292944	0.0115945884097373	0.117515145126551	0	0.0103160709425454	0	0.0106595472549862	0	0.0357288311183916	0	0.0230471128496249	0	0.0202029484499007	0.00804272000893038	0	0	0	9999	0.755663954070822	0.656752512421462
GSM1587832	0.0903943585662961	0.475192389790541	0.0922396022410384	0.0496770144843036	0.0230232481007603	0	0	0.099411463266475	0	0.0279427844215015	0	0.0632843951960204	0	0.0316981153807068	0.0211609104517473	0.0223050642320504	0	0	0	0	0	0.00367065386855905	9999	0.783738203619813	0.631052182872606
GSM1587833	0.254733269469169	0.208139951303357	0.0296772408726273	0.0853677100998602	0.00979523626990582	0	0.014695670316463	0.115128055745377	0	0.0765248952576972	0	0.0478019835803879	0	0.0758846409851124	0.0353167253439784	0.0413875434262346	0	0	0.00554707732982912	0	0	0	9999	0.680508813294726	0.740725882733397
GSM1587834	0.082887538417312	0.397928338600322	0	0.0882980171167661	0	0.0157315239413368	0.0243430254222986	0.14469421733231	0.0010927374569352	0.05578114497627	0	0.0376311702136823	0	0.0803215365090385	0.0197030789620849	0.0475607218794302	0	0	0.00402694917221369	0	0	0	9999	0.705153597208955	0.724689865812198
GSM1587835	0.134858397511703	0.517848295387469	0	0.0345059248106404	0.0246621182522413	0.0355760902301404	0.0480545679403048	0.0603326287849439	0	0.0312063642857685	0	0.0237468402944397	0	0.0311734947174999	0.00278406606381077	0.0425249416093272	0	0.0127262701117117	0	0	0	0	9999	0.82774786222034	0.586320007813959
GSM1587836	0.225859620356726	0.328562417998125	0.0630473021488583	0.0348355737768306	0.0127714042610291	0.0632287951667411	0.00557042605771662	0.0882093470862002	0	0.0382724468495878	0	0.044361225350354	0	0.0347677494170338	0.00175847033802101	0.0317526482197905	0	0.0213356691696081	0	0.00566690380337789	0	0	9999	0.820124863994883	0.598706226600375
