sample	cell_type	cibersort_predicted_fraction
GSM1587827	B_cells	0.0613272507478214
GSM1587828	B_cells	0
GSM1587829	B_cells	0
GSM1587830	B_cells	0
GSM1587831	B_cells	0.577730259907918
GSM1587832	B_cells	0.1807887171325922
GSM1587833	B_cells	0.509466538938338
GSM1587834	B_cells	0.165775076834624
GSM1587835	B_cells	0.269716795023406
GSM1587836	B_cells	0.451719240713452
GSM1587837	B_cells	0.1644363557710942
GSM1587838	B_cells	0.0586051487559524
GSM1587839	B_cells	0.483230647138872
GSM1587840	B_cells	0.911790803033724
GSM1587841	B_cells	0.00804835770853736
GSM1587842	B_cells	0
GSM1587843	B_cells	0.00842841400799146
GSM1587844	B_cells	0.312363438988482
GSM1587845	B_cells	0.1075851135674904
GSM1587846	B_cells	0.436932776326714
GSM1587847	B_cells	0
GSM1587848	B_cells	0.072360483551594
GSM1587849	B_cells	0.1965297859746098
GSM1587850	B_cells	0
GSM1587851	B_cells	0
GSM1587852	B_cells	0
GSM1587853	B_cells	0
GSM1587854	B_cells	0
GSM1587827	CD4_T_cells	0.15994454793913482
GSM1587828	CD4_T_cells	0.1802875621081653
GSM1587829	CD4_T_cells	0.1346109583830899
GSM1587830	CD4_T_cells	0.3277455507407615
GSM1587831	CD4_T_cells	0.04313311516729984
GSM1587832	CD4_T_cells	0.0230232481007603
GSM1587833	CD4_T_cells	0.02449090658636882
GSM1587834	CD4_T_cells	0.0400745493636354
GSM1587835	CD4_T_cells	0.1082927764226865
GSM1587836	CD4_T_cells	0.08157062548548683
GSM1587837	CD4_T_cells	0.037026138851290955
GSM1587838	CD4_T_cells	0.04431107912608783
GSM1587839	CD4_T_cells	0.05177681299679969
GSM1587840	CD4_T_cells	0.013960244796324319
GSM1587841	CD4_T_cells	0.1023020128684128
GSM1587842	CD4_T_cells	0.0277500894792475
GSM1587843	CD4_T_cells	0.0726334891321348
GSM1587844	CD4_T_cells	0.04601883045630024
GSM1587845	CD4_T_cells	0.00121580140538176
GSM1587846	CD4_T_cells	0.029262265737702478
GSM1587847	CD4_T_cells	0.012194953251975681
GSM1587848	CD4_T_cells	0.02269435737408752
GSM1587849	CD4_T_cells	0.0103932658564646
GSM1587850	CD4_T_cells	0.1722211356280599
GSM1587851	CD4_T_cells	0.1623860021491907
GSM1587852	CD4_T_cells	0.3232590528608385
GSM1587853	CD4_T_cells	0.0708395097075928
GSM1587854	CD4_T_cells	0.2977053199357959
GSM1587827	CD8_T_cells	0.0762829392103052
GSM1587828	CD8_T_cells	0.142754212289958
GSM1587829	CD8_T_cells	0.0263254877691333
GSM1587830	CD8_T_cells	0
GSM1587831	CD8_T_cells	0.038109424308544
GSM1587832	CD8_T_cells	0.0496770144843036
GSM1587833	CD8_T_cells	0.0853677100998602
GSM1587834	CD8_T_cells	0.0882980171167661
GSM1587835	CD8_T_cells	0.0345059248106404
GSM1587836	CD8_T_cells	0.0348355737768306
GSM1587837	CD8_T_cells	0.0640990186353449
GSM1587838	CD8_T_cells	0.0558727601157024
GSM1587839	CD8_T_cells	0.0203584489495648
GSM1587840	CD8_T_cells	0.0135030761384008
GSM1587841	CD8_T_cells	0.041170797298335
GSM1587842	CD8_T_cells	0.0404950292423258
GSM1587843	CD8_T_cells	0.0799186829323908
GSM1587844	CD8_T_cells	0.0897044099057409
GSM1587845	CD8_T_cells	0.00142091806340097
GSM1587846	CD8_T_cells	0
GSM1587847	CD8_T_cells	0
GSM1587848	CD8_T_cells	2.18688065738379e-4
GSM1587849	CD8_T_cells	0
GSM1587850	CD8_T_cells	0.24045843517727
GSM1587851	CD8_T_cells	0.211380673475177
GSM1587852	CD8_T_cells	0.138765375588897
GSM1587853	CD8_T_cells	0.19763934451556
GSM1587854	CD8_T_cells	0.170780854617232
