Hugo	CD4+_T_cells_BGI_output2	CD4+_T_cells_BGI_output1	CD4+_T_cells_BGI_output3	CD8+_T_cells_BGI_output2	Monocytes_BGI_output2	Monocytes_BGI_output3	Monocytes_BGI	CD8+_T_cells_BGI_output3	Monocytes_BGI_output1	CD8+_T_cells_BGI	CD8+_T_cells_BGI_output1	CD4+_T_cells_BGI
A1BG	15.096824	15.097646000000001	15.096824	22.594509	30.449625	30.449625	30.9091685	22.591631	30.461489	22.8087105	22.594509	16.211167
A1CF	0.04754730712454	0.04754000712258	0.04754730712454	0.0718828000503961	0.09648830112009	0.09648830112009	0.07333530117888	0.0719012000504234	0.09650420112036	0.07190110847462	0.0718828000503961	0.041274603876170005
A2M	1.17553685	1.17557189	1.17553685	3.4987096	0.699215	0.699215	0.62019689	3.4984995999999997	0.6994434	3.14696	3.4987096	1.227634
A2ML1	0.21252379999999998	0.21249600000000002	0.21252379999999998	0.473954	0.26508115	0.26508115	0.1725571	0.474038	0.26514598	0.415048	0.473954	0.2374968
A2MP1	1.5601415	1.5600217	1.5601415	4.8024552	0.0401581	0.0401581	0.0229503	4.8030922	0.0401645	4.916797	4.8024552	1.2729464
A3GALT2	0.100224	0.100216	0.100224	0.272984	0.479692	0.479692	0.373137	0.273018	0.479752	0.333783	0.272984	0.133607
A4GALT	1.34135	1.34154	1.34135	1.3515229	0.523411	0.523411	0.7365974000000001	1.3510558	0.523514	1.3801597	1.3515229	1.874124
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	21.463345999999998	21.462016	21.463345999999998	19.855419	24.574989000000002	24.574989000000002	24.553704107283	19.857183	24.579551	20.902502	19.855419	21.7677820104526
AACS	3.1516762	3.1517630999999997	3.1516762	6.274506	3.207226	3.207226	3.0200759	6.274286	3.208374	5.9155188	6.274506	3.8258737
AACSP1	0.041429	0.0414233	0.041429	0.0357331	0.0352426	0.0352426	0.0559011	0.0357413	0.0352482	0.0604195	0.0357331	0.0572229
AADAC	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0.00704836	0.0186114	0.0186114	0.0124091	0.00705002	0.0186144	0.0211555	0.00704836	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0.169556	0.0357445	0.0357445	0.107261	0.169556	0.0357535	0.056528435099999996	0.169556	0
AAED1	20.505706	20.504658	20.505706	15.511365999999999	10.940878	10.940878	11.521228	15.5137196	10.943097999999999	15.8176629	15.511365999999999	18.818644
AAGAB	17.0833	17.08136	17.0833	14.4777624	15.671352	15.671352	16.375739	14.4793899	15.673725	14.58495000414814	14.4777624	17.1188536
AAK1	52.589598	52.58527	52.589598	45.567143	10.4093311	10.4093311	9.7700895	45.572564	10.4119316	46.579715	45.567143	55.268125
AAMDC	9.027753	9.028015	9.027753	6.172817	13.120467099999999	13.120467099999999	13.152245	6.17225	13.124246999999999	6.5713567	6.172817	7.276167
AAMP	47.34715	47.34822	47.34715	58.567131429999996	85.764625	85.764625	87.830438	58.57049977	85.787058	57.894346593579996	58.567131429999996	45.957932
AANAT	0.13649440000000002	0.1364841	0.13649440000000002	0.1342803	2.193222	2.193222	2.36729	0.1343017	2.193794	0.214854	0.1342803	0.41096570000000004
AAR2	17.81571	17.813489999999998	17.81571	15.83271	17.453536	17.453536	17.321020999999998	15.836020000000001	17.456267	16.12877	15.83271	17.59816
AARD	0.155134	0.155114	0.155134	0.22055	0.0735189	0.0735189	0.0868575	0.2206	0.0735303	0.233267	0.22055	0.130237
AARS	7.029859	7.030494	7.029859	5.003418	4.312202	4.312202	2.6344060000000002	5.002547	4.3136849999999995	5.2793209999999995	5.003418	7.254175
AARS2	4.528351	4.527718	4.528351	5.850728	2.2767950000000003	2.2767950000000003	2.2360083000000004	5.852048	2.2771749999999997	5.644305	5.850728	4.5962676
AARSD1	32.696714	32.696777	32.696714	50.924798	19.823314	19.823314	18.588281	50.922095999999996	19.82799	47.20561	50.924798	33.838603
AARSP1	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	6.44848900438062	6.4485560043578705	6.44848900438062	2.94805603	3.4030371290146	3.4030371290146	3.186227500426552	2.9486361199999997	3.4033119290405	3.229767	2.94805603	5.1923968
AASDHPPT	13.869814	13.869494	13.869814	8.868671	6.0299700000000005	6.0299700000000005	6.498151	8.869025	6.031503	9.557028	8.868671	13.616975
AASS	1.036219	1.036079	1.036219	1.5812819999999999	0.043663099999999996	0.043663099999999996	0.041422	1.5816000000000001	0.0436699	1.4695660259172	1.5812819999999999	1.0267277
AATF	53.528572000000004	53.524882000000005	53.528572000000004	43.106372	53.492388	53.492388	49.73446	43.110526	53.505584	43.48612	43.106372	53.514524
