method.name	dataset.name	sample.id	Pearson	Spearman	RMSE
Aboensis IV	AA	ISFRA1	0.806727910980316	0.627235806584032	0.978444589725576
Aboensis IV	AA	ISFRA10	0.615580721427732	0.632737875062839	1.14182672620886
Aboensis IV	AA	ISFRA11	0.937466610975909	0.631868131868132	1.34738810551263
Aboensis IV	AA	ISFRA12	0.407123161778407	0.741758241758242	0.782044188186309
Aboensis IV	AA	ISFRA13	0.600708748653895	0.296703296703297	0.922375427703736
Aboensis IV	AA	ISFRA14	0.788269384200551	0.835164835164835	0.945669459608787
Aboensis IV	AA	ISFRA15	0.326847648746385	0.362637362637363	0.964243043427303
Aboensis IV	AA	ISFRA2	0.742598267613907	0.779617283347231	0.887683708234517
Aboensis IV	AA	ISFRA3	0.326099705565718	0.461538461538462	0.946738742406225
Aboensis IV	AA	ISFRA4	0.947565447677171	0.730769230769231	1.1743495546195
Aboensis IV	AA	ISFRA5	0.339623083810274	0.494505494505495	0.760358973133071
Aboensis IV	AA	ISFRA6	0.539607537066498	0.566713053317151	0.98824024382181
Aboensis IV	AA	ISFRA7	0.523564526883821	0.725274725274725	0.701579494157274
Aboensis IV	AA	ISFRA8	0.913498689074918	0.613480635387013	1.33906060772967
Aboensis IV	AA	ISFRA9	0.769507493914694	0.521978021978022	1.15877393837606
Aboensis IV	AA	ISFRB1	0.709963978143089	0.302197802197802	1.58217587709099
Aboensis IV	AA	ISFRB10	0.530436819953131	0.81430613486348	1.60225479241876
Aboensis IV	AA	ISFRB11	0.450772196163822	0.43956043956044	1.17851007564218
Aboensis IV	AA	ISFRB12	0.459478420455847	0.741758241758242	1.50752319739849
Aboensis IV	AA	ISFRB13	0.393055846159478	0.643742012020454	1.51270951142994
Aboensis IV	AA	ISFRB14	0.879214639615082	0.615384615384615	2.85621074835302
Aboensis IV	AA	ISFRB15	0.709378324272311	0.736263736263736	1.1464520877121
Aboensis IV	AA	ISFRB2	0.714925015454392	0.637362637362637	1.39229342372621
Aboensis IV	AA	ISFRB3	0.247179013463649	0.554945054945055	1.67513952562949
Aboensis IV	AA	ISFRB4	0.462977814625089	0.758241758241758	1.89510596759056
Aboensis IV	AA	ISFRB5	0.413587460313747	0.668501320175086	1.65927368977071
Aboensis IV	AA	ISFRB6	0.416196050001965	0.46767582069862	1.18027143175457
Aboensis IV	AA	ISFRB7	0.827756268587468	0.868131868131868	1.4400709593732
Aboensis IV	AA	ISFRB8	0.770755792355012	0.412087912087912	1.35636512189995
Aboensis IV	AA	ISFRB9	0.41468257008086	0.604395604395604	1.36948241806633
Aboensis IV	AB	ISFRA1	0.841633305815367	0.395604395604396	1.23602888961523
Aboensis IV	AB	ISFRA10	0.572180133274314	0.64099097778105	0.817949880596514
Aboensis IV	AB	ISFRA11	0.79432354918307	0.686813186813187	0.92331275445381
Aboensis IV	AB	ISFRA12	0.786509069954861	0.802197802197802	1.11486255913033
Aboensis IV	AB	ISFRA13	0.762903042472335	0.526172795474633	0.946077023036805
Aboensis IV	AB	ISFRA14	0.466699725929964	0.818681318681319	0.781006205327534
Aboensis IV	AB	ISFRA15	0.787933053133676	0.741758241758242	0.998798929340063
Aboensis IV	AB	ISFRA2	0.757271223756148	0.576923076923077	1.14562393250504
Aboensis IV	AB	ISFRA3	0.456771822866141	0.461538461538462	0.855391282043742
Aboensis IV	AB	ISFRA4	0.800676916825604	0.81430613486348	0.946926462403606
Aboensis IV	AB	ISFRA5	0.578909199397018	0.561210984838344	1.00140026724679
Aboensis IV	AB	ISFRA6	0.759903122564289	0.824175824175824	0.745659457233788
Aboensis IV	AB	ISFRA7	0.816406938154295	0.912087912087912	0.918421604312318
Aboensis IV	AB	ISFRA8	0.684070397680234	0.873626373626374	0.877311275412801
Aboensis IV	AB	ISFRA9	0.749760607890828	0.873626373626374	1.0172464332083
Aboensis IV	AB	ISFRB1	0.736550626075434	0.60989010989011	3.88723148641077
Aboensis IV	AB	ISFRB10	0.763190630434954	0.40715306743174	3.96628159236745
Aboensis IV	AB	ISFRB11	0.882675032513853	0.587912087912088	1.4029969531374
Aboensis IV	AB	ISFRB12	0.3490836286956	0.587912087912088	1.40087077539082
Aboensis IV	AB	ISFRB13	0.287364376165717	0.505494505494506	1.68815100450228
Aboensis IV	AB	ISFRB14	0.492431075742077	0.648351648351648	1.33926982734336
Aboensis IV	AB	ISFRB15	0.489651018489231	0.664835164835165	1.47924651943776
Aboensis IV	AB	ISFRB2	0.879540755172987	0.807692307692308	1.5262501375023
Aboensis IV	AB	ISFRB3	0.429720737340635	0.664835164835165	1.52554183995212
Aboensis IV	AB	ISFRB4	0.44126084569277	0.239670330923	1.25430466155676
Aboensis IV	AB	ISFRB5	0.485468861855449	0.675824175824176	1.71947129753649
Aboensis IV	AB	ISFRB6	0.88256960706686	0.79229786094825	1.32538825264166
Aboensis IV	AB	ISFRB7	0.605743447822543	0.796703296703297	2.51272431838727
Aboensis IV	AB	ISFRB8	0.666316739326298	0.736263736263736	1.50627718683114
Aboensis IV	AB	ISFRB9	0.775028870905811	0.708791208791209	1.30129737619212
Aboensis IV	AE	ISFB1A1	0.370032219046956	0.587912087912088	0.919218143378059
Aboensis IV	AE	ISFB1A2	0.586947601295307	0.565934065934066	1.06563290674003
Aboensis IV	AE	ISFB1A3	0.854709335020746	0.241758241758242	0.973621720411891
Aboensis IV	AE	ISFB1A4	0.418475829758132	0.774725274725275	1.00200514716454
Aboensis IV	AE	ISFB1B1	0.636416043185075	0.467032967032967	1.32401292696811
Aboensis IV	AE	ISFB1B2	0.438226541149347	0.434065934065934	1.10841525182468
Aboensis IV	AE	ISFB1B3	0.502613211677682	0.681318681318681	1.62083719678434
Aboensis IV	AE	ISFB1B4	0.331693248158632	0.730769230769231	1.37392852921851
Aboensis IV	AE	ISFB2A1	0.621090124273084	0.582417582417582	0.820527153247195
Aboensis IV	AE	ISFB2A2	0.250873050639498	0.494505494505495	0.880116603957609
Aboensis IV	AE	ISFB2A3	0.390013288814402	0.692307692307692	1.17121877010408
Aboensis IV	AE	ISFB2A4	0.698565640812465	0.664835164835165	0.96394618120775
Aboensis IV	AE	ISFB2B1	0.300424574698692	0.593406593406593	1.39719919085474
Aboensis IV	AE	ISFB2B2	0.819007898800336	0.598901098901099	1.47067525112985
Aboensis IV	AE	ISFB2B3	0.562500317743929	0.708791208791209	1.85992033086076
Aboensis IV	AE	ISFB2B4	0.788526997771944	0.769230769230769	1.28944801454026
Aboensis IV	AE	ISFB3A1	0.724097454007399	0.626373626373626	0.96267374910985
Aboensis IV	AE	ISFB3A2	0.587375708576104	0.675824175824176	1.0349716380674
Aboensis IV	AE	ISFB3A3	0.288119007756568	0.697802197802198	0.989086137275304
Aboensis IV	AE	ISFB3A4	0.443818736991357	0.774725274725275	0.980651888699816
Aboensis IV	AE	ISFB3B1	0.652643676672174	0.818681318681319	1.24837345015418
Aboensis IV	AE	ISFB3B2	0.268160064266087	0.626373626373626	1.48812810132536
Aboensis IV	AE	ISFB3B3	0.523601953573209	0.835164835164835	1.41232041665853
Aboensis IV	AE	ISFB3B4	0.572202291222144	0.631868131868132	1.64645012181477
Aboensis IV	AE	ISFB4A1	0.678441923449698	0.675824175824176	0.804667486828415
Aboensis IV	AE	ISFB4A2	0.552017313000608	0.582417582417582	1.128452598516
Aboensis IV	AE	ISFB4A3	0.359964958118298	0.43956043956044	1.05997529448621
Aboensis IV	AE	ISFB4A4	0.21991815033433	0.681318681318681	0.899469682464532
Aboensis IV	AE	ISFB4B1	0.674300044951343	0.653846153846154	1.22750593482993
