method.name	Pearson	Spearman	RMSE
Aboensis IV	0.553521400830096	0.57971086795464	55.2906177106784
Aginome-XMU	0.55179545271125	0.447661536584923	0.0501079101552078
Biogem	0.363027529738696	0.298710985728913	0.063222940434367
Cancer_Decon	0.252709151203981	0.238476358705822	5.14621941625165
CCB	0.249773744698227	0.255345501555244	0.0900253425900314
D3Team	0.385581460764907	0.337531193918842	0.0723530079415574
DA_505	0.282345985897102	0.280872367045832	0.113892876366515
ICTD	0.252729701688445	0.238201633431097	5.1430009437707
IZI	0.222079681431907	0.202227227379327	0.0924480003255538
LeiliLab	0.0656229179487963	0.0479041724154139	0.124393744050003
mitten_TDC19	0.241285520775091	0.190808235082034	0.0777208831470459
NPU	0.0968841254657117	0.084193942295433	0.11705791527419
Patrick	0.343211857688217	0.321278150971363	16.0268768074711
REGGEN_LAB	0.27070448908523	0.217906058616595	0.0827536596087238
Rubbernecks	0.0660661092563258	0.146796097279207	0.150503383696298
Tonys Boys	0.150230102048735	0.107021747687488	0.129969865167143
xCell	0.585110648440555	0.530178228852069	0.0562591542097646
