evaluation	cell.type	cut_bin	bin_number
lod	B	[0.3,2]	1
lod	B	(2,3]	2
lod	B	(3,24]	3
lod	B	(24,100]	4
lod	CD4 T	[6,10.2]	1
lod	CD4 T	(10.2,13]	2
lod	CD4 T	(13,25]	3
lod	CD4 T	(25,100]	4
lod	CD4 T	NA	5
lod	CD8 T	[0.2,5]	1
lod	CD8 T	(5,12]	2
lod	CD8 T	(12,38]	3
lod	CD8 T	(38,100]	4
lod	endothelial	[0.9,2]	1
lod	endothelial	(2,6.5]	2
lod	endothelial	(6.5,16]	3
lod	endothelial	(16,100]	4
lod	endothelial	NA	5
lod	fibroblasts	[0.235,2]	1
lod	fibroblasts	(2,4]	2
lod	fibroblasts	(4,7]	3
lod	fibroblasts	(7,100]	4
lod	fibroblasts	NA	5
lod	macrophages	[8,17]	1
lod	macrophages	(17,20]	2
lod	macrophages	(20,33]	3
lod	macrophages	(33,100]	4
lod	macrophages	NA	5
lod	memory CD4 T	[22,24]	1
lod	memory CD4 T	(24,100]	2
lod	memory CD4 T	NA	5
lod	memory CD8 T	[5,14.2]	1
lod	memory CD8 T	(14.2,25]	2
lod	memory CD8 T	(25,100]	3
lod	memory CD8 T	NA	5
lod	monocytes	[0.6,7]	1
lod	monocytes	(7,8.5]	2
lod	monocytes	(8.5,26.5]	3
lod	monocytes	(26.5,100]	4
lod	monocytes	NA	5
lod	monocytic lineage	[1,3.5]	1
lod	monocytic lineage	(3.5,7]	2
lod	monocytic lineage	(7,14.5]	3
lod	monocytic lineage	(14.5,100]	4
lod	myeloid DCs	[1,5.5]	1
lod	myeloid DCs	(5.5,12]	2
lod	myeloid DCs	(12,40]	3
lod	myeloid DCs	(40,100]	4
lod	myeloid DCs	NA	5
lod	naive B	[0.5,2]	1
lod	naive B	(2,3]	2
lod	naive B	(3,6]	3
lod	naive B	(6,100]	4
lod	naive B	NA	5
lod	naive CD4 T	[6,20]	1
lod	naive CD4 T	(20,28]	2
lod	naive CD4 T	(28,34]	3
lod	naive CD4 T	(34,100]	4
lod	naive CD4 T	NA	5
lod	naive CD8 T	[0.8,4]	1
lod	naive CD8 T	(4,15]	2
lod	naive CD8 T	(15,21]	3
lod	naive CD8 T	(21,100]	4
lod	naive CD8 T	NA	5
