cell.type	method.name	lod	cut_bin	bin_number
B	Aboensis IV	2	[0.3,2]	1
B	Aginome-XMU	2	[0.3,2]	1
B	Biogem	3	(2,3]	2
B	Cancer_Decon	0.3	[0.3,2]	1
B	CancerSysBio	3	(2,3]	2
B	CCB	2	[0.3,2]	1
B	CIBERSORT	3	(2,3]	2
B	CIBERSORTx	0.9	[0.3,2]	1
B	D3Team	0.8	[0.3,2]	1
B	DA_505	4	(3,24]	3
B	EPIC	4	(3,24]	3
B	HM159	38	(24,100]	4
B	ICTD	0.4	[0.3,2]	1
B	IZI	5	(3,24]	3
B	jbkcose	100	(24,100]	4
B	jdroz	3	(2,3]	2
B	LeiliLab	100	(24,100]	4
B	MCP-counter	4	(3,24]	3
B	mitten_TDC19	3	(2,3]	2
B	NPU	24	(3,24]	3
B	NYIT_glomerular	100	(24,100]	4
B	Patrick	0.8	[0.3,2]	1
B	quanTIseq	3	(2,3]	2
B	REGGEN_LAB	100	(24,100]	4
B	Rubbernecks	24	(3,24]	3
B	TJU	26	(24,100]	4
B	xCell	1	[0.3,2]	1
CD4 T	Aboensis IV	19	(13,25]	3
CD4 T	Aginome-XMU	6	[6,10.2]	1
CD4 T	Biogem	10	[6,10.2]	1
CD4 T	Cancer_Decon	10	[6,10.2]	1
CD4 T	CancerSysBio	26	(25,100]	4
CD4 T	CCB	13	(10.2,13]	2
CD4 T	CIBERSORT	11	(10.2,13]	2
CD4 T	CIBERSORTx	11	(10.2,13]	2
CD4 T	D3Team	7	[6,10.2]	1
CD4 T	DA_505	10	[6,10.2]	1
CD4 T	EPIC	13	(10.2,13]	2
CD4 T	HM159	38	(25,100]	4
CD4 T	ICTD	10	[6,10.2]	1
CD4 T	IZI	36	(25,100]	4
CD4 T	jbkcose	100	(25,100]	4
CD4 T	jdroz	22	(13,25]	3
CD4 T	LeiliLab	12	(10.2,13]	2
CD4 T	MCP-counter	NA	NA	5
CD4 T	mitten_TDC19	13	(10.2,13]	2
CD4 T	NPU	100	(25,100]	4
CD4 T	NYIT_glomerular	100	(25,100]	4
CD4 T	Patrick	19	(13,25]	3
CD4 T	quanTIseq	19	(13,25]	3
CD4 T	REGGEN_LAB	19	(13,25]	3
CD4 T	Rubbernecks	10	[6,10.2]	1
CD4 T	TJU	100	(25,100]	4
CD4 T	xCell	11	(10.2,13]	2
CD8 T	Aboensis IV	5	[0.2,5]	1
CD8 T	Aginome-XMU	4	[0.2,5]	1
CD8 T	Biogem	3	[0.2,5]	1
CD8 T	Cancer_Decon	8	(5,12]	2
CD8 T	CancerSysBio	36	(12,38]	3
CD8 T	CCB	34	(12,38]	3
CD8 T	CIBERSORT	3	[0.2,5]	1
CD8 T	CIBERSORTx	3	[0.2,5]	1
CD8 T	D3Team	5	[0.2,5]	1
CD8 T	DA_505	11	(5,12]	2
CD8 T	EPIC	38	(12,38]	3
CD8 T	HM159	38	(12,38]	3
CD8 T	ICTD	8	(5,12]	2
CD8 T	IZI	36	(12,38]	3
CD8 T	jbkcose	100	(38,100]	4
CD8 T	jdroz	19	(12,38]	3
CD8 T	LeiliLab	34	(12,38]	3
CD8 T	MCP-counter	0.2	[0.2,5]	1
CD8 T	mitten_TDC19	12	(5,12]	2
CD8 T	NPU	100	(38,100]	4
CD8 T	NYIT_glomerular	100	(38,100]	4
CD8 T	Patrick	7	(5,12]	2
CD8 T	quanTIseq	2	[0.2,5]	1
CD8 T	REGGEN_LAB	100	(38,100]	4
CD8 T	Rubbernecks	40	(38,100]	4
CD8 T	TJU	100	(38,100]	4
CD8 T	xCell	7	(5,12]	2
endothelial	Aboensis IV	2	[0.9,2]	1
endothelial	Aginome-XMU	5	(2,6.5]	2
endothelial	Biogem	6	(2,6.5]	2
endothelial	Cancer_Decon	1.4	[0.9,2]	1
endothelial	CancerSysBio	2	[0.9,2]	1
endothelial	CCB	8	(6.5,16]	3
endothelial	CIBERSORT	NA	NA	5
endothelial	CIBERSORTx	6.5	(2,6.5]	2
endothelial	D3Team	13	(6.5,16]	3
endothelial	DA_505	0.9	[0.9,2]	1
endothelial	EPIC	3	(2,6.5]	2
endothelial	HM159	38	(16,100]	4
endothelial	ICTD	1.4	[0.9,2]	1
endothelial	IZI	16	(6.5,16]	3
endothelial	jbkcose	100	(16,100]	4
endothelial	jdroz	14	(6.5,16]	3
endothelial	LeiliLab	24.5	(16,100]	4
endothelial	MCP-counter	2	[0.9,2]	1
endothelial	mitten_TDC19	6.5	(2,6.5]	2
endothelial	NPU	21	(16,100]	4
endothelial	NYIT_glomerular	100	(16,100]	4
endothelial	Patrick	1.45	[0.9,2]	1
endothelial	quanTIseq	NA	NA	5
endothelial	REGGEN_LAB	15.5	(6.5,16]	3
endothelial	Rubbernecks	5.95	(2,6.5]	2
endothelial	TJU	40	(16,100]	4
endothelial	xCell	1.3	[0.9,2]	1
fibroblasts	Aboensis IV	1.95	[0.235,2]	1
fibroblasts	Aginome-XMU	2	[0.235,2]	1
fibroblasts	Biogem	2	[0.235,2]	1
fibroblasts	Cancer_Decon	4	(2,4]	2
fibroblasts	CancerSysBio	2	[0.235,2]	1
fibroblasts	CCB	1.5	[0.235,2]	1
fibroblasts	CIBERSORT	NA	NA	5
fibroblasts	CIBERSORTx	1.35	[0.235,2]	1
fibroblasts	D3Team	6	(4,7]	3
fibroblasts	DA_505	5.5	(4,7]	3
fibroblasts	EPIC	0.65	[0.235,2]	1
fibroblasts	HM159	38	(7,100]	4
fibroblasts	ICTD	4	(2,4]	2
fibroblasts	IZI	17	(7,100]	4
fibroblasts	jbkcose	100	(7,100]	4
fibroblasts	jdroz	5	(4,7]	3
fibroblasts	LeiliLab	70	(7,100]	4
fibroblasts	MCP-counter	0.3	[0.235,2]	1
fibroblasts	mitten_TDC19	4.5	(4,7]	3
fibroblasts	NPU	18.5	(7,100]	4
fibroblasts	NYIT_glomerular	4	(2,4]	2
fibroblasts	Patrick	0.235	[0.235,2]	1
fibroblasts	quanTIseq	NA	NA	5
fibroblasts	REGGEN_LAB	5.95	(4,7]	3
fibroblasts	Rubbernecks	2.85	(2,4]	2
fibroblasts	TJU	40	(7,100]	4
fibroblasts	xCell	7	(4,7]	3
monocytic lineage	Aboensis IV	2	[1,3.5]	1
monocytic lineage	Aginome-XMU	5	(3.5,7]	2
monocytic lineage	Biogem	2	[1,3.5]	1
monocytic lineage	Cancer_Decon	1	[1,3.5]	1
monocytic lineage	CancerSysBio	4	(3.5,7]	2
monocytic lineage	CCB	10	(7,14.5]	3
monocytic lineage	CIBERSORT	3	[1,3.5]	1
monocytic lineage	CIBERSORTx	2	[1,3.5]	1
monocytic lineage	D3Team	40	(14.5,100]	4
monocytic lineage	DA_505	7	(3.5,7]	2
monocytic lineage	EPIC	8	(7,14.5]	3
monocytic lineage	HM159	36	(14.5,100]	4
monocytic lineage	ICTD	1	[1,3.5]	1
monocytic lineage	IZI	9	(7,14.5]	3
monocytic lineage	jbkcose	26	(14.5,100]	4
monocytic lineage	jdroz	6	(3.5,7]	2
monocytic lineage	LeiliLab	18	(14.5,100]	4
monocytic lineage	MCP-counter	5	(3.5,7]	2
monocytic lineage	mitten_TDC19	6	(3.5,7]	2
