method.name	Pearson	Spearman	RMSE	cut_bin	bin_number
Aginome-XMU	0.55179545271125	0.447661536584923	0.0501079101552078	(0.363,0.585]	1
Biogem	0.363027529738696	0.298710985728913	0.063222940434367	(0.271,0.363]	2
CCB	0.249773744698227	0.255345501555244	0.0900253425900314	(0.15,0.271]	3
D3Team	0.385581460764907	0.337531193918842	0.0723530079415574	(0.363,0.585]	1
DA_505	0.282345985897102	0.280872367045832	0.113892876366515	(0.271,0.363]	2
IZI	0.222079681431907	0.202227227379327	0.0924480003255538	(0.15,0.271]	3
LeiliLab	0.0656229179487963	0.0479041724154139	0.124393744050003	[0.0656,0.15]	4
NPU	0.0968841254657117	0.084193942295433	0.11705791527419	[0.0656,0.15]	4
Patrick	0.343211857688217	0.321278150971363	16.0268768074711	(0.271,0.363]	2
REGGEN_LAB	0.27070448908523	0.217906058616595	0.0827536596087238	(0.15,0.271]	3
Rubbernecks	0.0660661092563258	0.146796097279207	0.150503383696298	[0.0656,0.15]	4
Tonys Boys	0.150230102048735	0.107021747687488	0.129969865167143	[0.0656,0.15]	4
xCell	0.585110648440555	0.530178228852069	0.0562591542097646	(0.363,0.585]	1
