method.name	subchallenge	submission	exec.time.seconds	cut_bin	bin_number
Aboensis IV	coarse	1	76.974781	[69.7,83.4]	1
Aginome-XMU	coarse	1	79.799465	[69.7,83.4]	1
Biogem	coarse	1	81.575444	[69.7,83.4]	1
Cancer_Decon	coarse	1	1274.608736	(757,1.14e+04]	4
CancerSysBio	coarse	1	94.488509	(83.4,133]	2
CCB	coarse	1	92.850193	(83.4,133]	2
CIBERSORT	coarse	1	132.536851	(83.4,133]	2
CIBERSORTx	coarse	1	566.56002	(133,757]	3
D3Team	coarse	1	4289.49223	(757,1.14e+04]	4
DA_505	coarse	1	91.813422	(83.4,133]	2
EPIC	coarse	1	71.408992	[69.7,83.4]	1
HM159	coarse	1	829.623206	(757,1.14e+04]	4
ICTD	coarse	1	1279.424012	(757,1.14e+04]	4
IZI	coarse	1	11388.65305	(757,1.14e+04]	4
jbkcose	coarse	1	973.927126	(757,1.14e+04]	4
jdroz	coarse	1	459.431273	(133,757]	3
LeiliLab	coarse	1	85.255356	(83.4,133]	2
MCP-counter	coarse	1	69.73555	[69.7,83.4]	1
mitten_TDC19	coarse	1	86.394379	(83.4,133]	2
NPU	coarse	1	80.900233	[69.7,83.4]	1
NYIT_glomerular	coarse	1	171.332403	(133,757]	3
Patrick	coarse	1	684.731199	(133,757]	3
quanTIseq	coarse	1	252.951688	(133,757]	3
REGGEN_LAB	coarse	1	2204.910929	(757,1.14e+04]	4
Rubbernecks	coarse	1	147.080331	(133,757]	3
TJU	coarse	1	131.689722	(83.4,133]	2
xCell	coarse	1	70.060135	[69.7,83.4]	1
