method.name	B_mean	B_sd	B_lod	B_spillover	CD4.T_mean	CD4.T_sd	CD4.T_lod	CD4.T_spillover	CD8.T_mean	CD8.T_sd	CD8.T_lod	CD8.T_spillover	endothelial_mean	endothelial_sd	endothelial_lod	endothelial_spillover	fibroblasts_mean	fibroblasts_sd	fibroblasts_lod	fibroblasts_spillover	monocytic.lineage_mean	monocytic.lineage_sd	monocytic.lineage_lod	monocytic.lineage_spillover	neutrophils_mean	neutrophils_sd	neutrophils_lod	neutrophils_spillover	NK_mean	NK_sd	NK_lod	NK_spillover	macrophages_mean	macrophages_sd	macrophages_lod	macrophages_spillover	memory.CD4.T_mean	memory.CD4.T_sd	memory.CD4.T_lod	memory.CD4.T_spillover	memory.CD8.T_mean	memory.CD8.T_sd	memory.CD8.T_lod	memory.CD8.T_spillover	monocytes_mean	monocytes_sd	monocytes_lod	monocytes_spillover	myeloid.DCs_mean	myeloid.DCs_sd	myeloid.DCs_lod	myeloid.DCs_spillover	naive.B_mean	naive.B_sd	naive.B_lod	naive.B_spillover	naive.CD4.T_mean	naive.CD4.T_lod	naive.CD4.T_spillover	naive.CD8.T_mean	naive.CD8.T_lod	naive.CD8.T_spillover	Tregs_mean	Tregs_sd	Tregs_lod	Tregs_spillover	sample_coarse	sample_fine	timing_coarse	timing_fine	total.score
Aboensis IV	5	5	1	1	5	5	3	1	5	5	1	1	5	5	1	1	5	5	1	1	5	5	1	1	5	5	2	1	5	5	2	1	5	5	2	3	5	5	2	1	5	5	3	2	5	5	3	4	5	5	1	1	5	5	1	1	5	2	2	5	1	1	5	5	2	1	5	5	1	1	1.52777777777778
Aginome-XMU	1	1	1	1	3	4	1	1	1	1	1	1	3	4	2	2	3	2	1	2	1	1	2	2	2	3	2	3	3	3	3	3	1	1	1	3	1	3	1	1	1	3	2	2	2	3	1	2	1	2	1	2	2	4	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1.77142857142857
mitten_TDC19	1	1	2	2	1	2	2	3	1	1	2	2	1	2	2	3	1	1	3	2	1	2	2	2	1	2	2	2	1	1	2	2	1	1	1	3	2	4	2	2	1	2	1	2	1	1	2	2	2	3	3	4	1	1	2	3	2	1	3	1	1	2	1	1	2	2	5	5	2	2	1.79411764705882
xCell	1	1	1	3	1	2	2	1	1	1	2	2	1	1	1	1	3	3	3	3	2	4	4	3	1	1	1	2	1	3	3	2	1	2	1	2	1	4	2	3	2	3	2	3	1	2	2	2	1	1	1	1	1	1	1	2	2	1	3	4	4	4	1	1	1	2	2	1	1	1	1.87142857142857
Biogem	2	2	2	1	4	4	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	3	4	3	4	2	3	1	2	1	2	1	2	3	1	3	2	3	2	3	3	2	3	2	1	3	2	2	2	2	2	4	3	4	4	2	2	1	1	1.95714285714286
CIBERSORTx	2	2	1	1	1	2	2	2	1	3	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	3	4	2	2	2	2	3	2	1	3	1	1	5	5	5	5	1	1	3	1	1	1	2	1	1	1	2	1	1	1	1	5	5	5	3	4	3	1	1	5	3	3	1.98550724637681
D3Team	2	3	1	2	2	1	1	1	3	4	1	1	3	2	3	3	1	1	3	3	3	4	4	2	2	2	2	2	1	2	2	1	2	3	2	2	4	2	2	2	3	4	2	1	3	2	1	4	3	3	1	2	2	2	1	2	1	1	1	1	2	1	2	3	2	2	4	1	4	4	2.17142857142857
CCB	1	2	1	1	2	2	2	3	3	2	3	2	2	3	3	1	1	3	1	1	2	3	3	1	3	4	3	1	1	1	1	1	3	4	4	1	1	3	1	1	1	2	3	1	2	4	1	1	3	4	4	1	1	2	2	1	2	4	2	4	4	3	3	4	1	3	3	3	2	2	2.2
DA_505	2	4	3	1	1	3	1	1	2	3	2	2	2	3	1	3	1	1	3	3	1	1	2	1	4	4	3	3	4	4	2	2	3	1	1	4	1	1	1	4	3	1	1	4	3	3	1	4	3	3	2	4	4	2	3	4	1	1	3	1	1	2	2	3	2	3	1	2	2	2	2.28571428571429
Cancer_Decon	1	1	1	2	1	1	1	3	2	3	2	4	2	1	1	2	2	2	2	2	2	3	1	3	3	3	2	4	2	1	1	3	2	3	2	4	3	4	2	4	4	4	3	4	1	1	1	3	1	1	2	4	3	3	1	3	4	3	4	3	3	4	1	1	1	2	5	5	4	4	2.36764705882353
ICTD	1	1	1	2	2	1	1	3	2	3	2	4	2	1	1	2	2	2	2	2	2	3	1	3	3	3	2	4	2	1	1	3	2	3	2	4	3	4	2	4	4	4	3	4	1	1	1	3	1	1	2	4	3	3	1	3	4	3	4	3	3	4	1	1	1	2	5	5	4	4	2.38235294117647
Patrick	2	2	1	4	3	1	3	4	4	2	2	3	2	2	1	2	3	4	1	1	3	2	1	4	2	2	1	3	3	4	1	4	4	1	2	1	3	1	2	4	2	1	1	3	2	3	1	4	2	4	3	2	3	1	1	4	3	1	4	2	1	3	3	4	1	4	2	2	3	3	2.4
IZI	3	2	3	2	2	4	4	2	2	1	3	3	2	3	3	3	3	3	4	2	4	4	3	3	3	4	3	2	3	4	3	3	4	4	3	4	2	2	2	2	3	3	3	1	4	4	4	3	4	4	2	3	4	4	3	3	2	2	2	2	3	1	2	1	4	2	1	3	4	4	2.87142857142857
REGGEN_LAB	4	4	4	4	3	2	3	4	3	4	4	3	2	3	3	3	3	2	3	3	3	3	2	1	4	3	4	4	2	3	3	1	2	3	2	2	3	2	2	1	2	1	2	1	3	4	3	2	4	3	4	3	5	5	4	2	3	4	1	2	4	3	3	2	3	4	4	3	4	4	2.94285714285714
Rubbernecks	4	3	3	3	4	3	1	2	4	1	4	2	4	1	2	2	4	2	2	1	4	1	3	3	4	4	3	3	4	2	3	2	4	4	4	1	4	2	2	3	4	1	3	3	4	3	4	1	4	1	3	1	4	4	4	4	4	3	4	4	1	4	4	4	4	4	3	4	3	3	2.98571428571429
CIBERSORT	3	4	2	2	4	4	2	3	2	2	1	2	5	5	5	5	5	5	5	5	3	2	1	3	1	1	1	1	3	4	2	3	4	2	5	3	2	1	5	3	5	5	5	5	4	2	5	1	2	2	5	2	3	2	5	2	1	5	1	5	5	5	4	4	5	1	5	5	2	2	3.17647058823529
MCP-counter	3	3	3	2	5	5	5	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	4	1	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	3.25
quanTIseq	2	3	2	2	2	4	3	2	1	2	1	1	5	5	5	5	5	5	5	5	1	1	3	2	2	3	3	1	1	2	2	2	3	2	1	2	5	5	5	5	5	5	5	5	5	5	4	1	4	2	4	3	5	5	5	5	5	5	5	5	5	5	2	2	2	1	5	5	3	3	3.33823529411765
NPU	4	4	3	4	5	5	4	1	3	3	4	4	3	4	4	2	4	4	4	3	4	3	4	1	3	3	3	3	5	5	4	3	5	5	4	1	4	4	2	3	4	4	3	3	5	5	4	3	4	4	3	4	5	5	4	4	4	4	3	3	4	3	4	2	4	3	4	4	1	1	3.55714285714286
EPIC	1	1	3	1	3	3	2	4	2	1	3	3	5	5	2	1	5	5	1	1	2	4	3	1	1	1	5	5	1	1	4	1	5	5	4	3	5	5	5	5	5	5	5	5	2	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	3.57352941176471
LeiliLab	4	4	4	4	5	5	2	2	4	4	3	4	4	3	4	4	5	5	4	3	4	4	4	4	3	1	4	2	4	3	4	4	5	5	4	1	4	1	2	4	5	5	3	4	4	4	4	4	3	2	4	3	5	5	4	4	4	4	4	3	3	2	4	3	4	4	2	4	2	3	3.61428571428571
CancerSysBio	3	1	2	4	1	2	4	4	3	4	3	4	3	2	1	4	2	3	1	4	1	1	2	4	2	2	1	4	2	2	1	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	3.77611940298507
jdroz	3	4	2	3	3	1	3	4	3	4	3	3	3	4	3	4	4	4	3	4	3	4	2	4	4	3	4	3	4	2	3	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	3	5	4.14705882352941
NYIT_glomerular	4	3	4	4	4	1	4	4	4	3	4	4	4	2	4	4	2	1	2	4	3	2	4	4	4	2	4	4	4	3	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	3	5	4.19117647058824
HM159	4	4	4	3	3	4	4	3	4	4	3	3	4	4	4	4	4	4	4	4	4	2	4	2	3	4	3	2	3	4	4	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	4	5	4.25
Tonys Boys	5	5	5	5	5	5	5	5	5	5	5	5	3	4	5	5	3	3	5	5	5	5	5	5	5	5	5	5	2	3	5	5	5	5	5	5	4	1	5	5	5	5	5	5	4	4	5	5	5	5	5	5	4	4	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	4	4.26470588235294
jbkcose	4	2	4	4	4	3	4	4	4	2	4	2	4	4	4	4	4	4	4	4	4	2	4	4	4	1	4	4	4	2	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	4	5	4.27941176470588
TJU	3	3	4	3	4	3	4	2	4	4	4	4	4	3	4	3	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	4.32835820895522
