id,team_name,queue,exec_time(s)
9702754,mcpcounter_coarse,Pelka Coarse,68.624361
9702755,timer_coarse,Pelka Coarse,68.19245
9702756,quantiseq_coarse,Pelka Coarse,372.054982
9702757,xcell_coarse,Pelka Coarse,71.770987
9702759,epic_course2,Pelka Coarse,69.215759
9702760,cibersort_coarse,Pelka Coarse,68.227764
9702965,REGGEN_LAB,Pelka Coarse,881.724065
9703100,D3Team,Pelka Coarse,2059.100935
9703780,mitten_TDC19,Pelka Coarse,78.183698
9703855,CCB,Pelka Coarse,132.763063
9703857,CCB,Pelka Coarse,133.039043
9703863,DA_505,Pelka Coarse,214.826597
9704103,NYIT_glomerular,Pelka Coarse,89.544295
9704104,NYIT_glomerular,Pelka Coarse,91.505471
9704131,Northwestern Polytechnical University,Pelka Coarse,83.806707
9704171,Rubbernecks,Pelka Coarse,165.965132
9704223,jdroz,Pelka Coarse,1276.107384
9704278,Biogem,Pelka Coarse,69.253983
9704292,Aginome-XMU,Pelka Coarse,87.980744
9704307,D3Team,Pelka Coarse,0
9704315,IZI,Pelka Coarse,11305.22825
9704316,Patrick,Pelka Coarse,647.783514
9704330,Patrick,Pelka Coarse,826.514287
9704345,Patrick,Pelka Coarse,185.823586
9704365,Patrick,Pelka Coarse,98.930746
9704377,Rubbernecks,Pelka Coarse,1916.851859
9704388,D3Team,Pelka Coarse,80.034505
9704391,D3Team,Pelka Coarse,88.269039
9704394,mitten_TDC19,Pelka Coarse,114.058898
9704402,Aginome-XMU,Pelka Coarse,264.045174
9704404,Aginome-XMU,Pelka Coarse,954.944562
9704405,Aginome-XMU,Pelka Coarse,303.376571
9704407,Aginome-XMU,Pelka Coarse,11546.78892
9704408,Aginome-XMU,Pelka Coarse,982.375691
9704412,DA_505,Pelka Coarse,735.47637
9704455,ICTD,Pelka Coarse,121.309084
9704483,Biogem,Pelka Coarse,87.781018
9704617,Biogem,Pelka Coarse,102.635886
9704644,Biogem,Pelka Coarse,3471.7249
9704674,Biogem,Pelka Coarse,69.771376
9704678,Biogem,Pelka Coarse,83.767507
9704687,Aboensis IV,Pelka Coarse,105.192087
9704691,Aginome-XMU,Pelka Coarse,13768.92553
9704695,IZI,Pelka Coarse,87.508352
9704700,IZI,Pelka Coarse,102.244138
9702453,mcpcounter_fine,Pelka Fine,68.405676
9702456,timer_fine,Pelka Fine,70.669746
9702459,quantiseq_fine,Pelka Fine,375.572751
9702462,xcell_fine,Pelka Fine,73.84259
9702464,epic_fine,Pelka Fine,69.321298
9702466,cibersort_fine,Pelka Fine,68.834909
9702969,REGGEN_LAB,Pelka Fine,544.839643
9703778,D3Team,Pelka Fine,94.032741
9703858,CCB,Pelka Fine,105.312742
9703859,CCB,Pelka Fine,105.996154
9703887,DA_505,Pelka Fine,74.67706
9703919,DA_505,Pelka Fine,3778.400973
9704132,Northwestern Polytechnical University,Pelka Fine,68.581755
9704261,jdroz,Pelka Fine,140.018182
9704279,Biogem,Pelka Fine,95.729059
9704311,D3Team,Pelka Fine,521.779246
9704317,Patrick,Pelka Fine,21472.53041
9704324,Patrick,Pelka Fine,715.455128
9704367,Aboensis IV,Pelka Fine,NA
9704375,Rubbernecks,Pelka Fine,190.506918
9704379,Rubbernecks,Pelka Fine,1246.086126
9704387,D3Team,Pelka Fine,4900.702539
9704393,mitten_TDC19,Pelka Fine,78.628141
9704396,LeiliLab,Pelka Fine,606.815113
9704397,LeiliLab,Pelka Fine,765.850947
9704399,Aginome-XMU,Pelka Fine,97.247711
9704409,IZI,Pelka Fine,26269.89009
9704411,DA_505,Pelka Fine,126.703583
9704413,Cancer_Decon,Pelka Fine,955.555659
9704414,ICTD,Pelka Fine,1351.983511
9704482,Biogem,Pelka Fine,95.82808
9704577,Aboensis IV,Pelka Fine,67.471933
9704616,Biogem,Pelka Fine,96.761517
9704679,Aboensis IV,Pelka Fine,85.251041
9704689,DA_505,Pelka Fine,104.447996
9704690,Aginome-XMU,Pelka Fine,277.510624
9704692,IZI,Pelka Fine,37453.296
9704703,mitten_TDC19,Pelka Fine,88.388902
9704704,D3Team,Pelka Fine,5092.171726
9702754,mcpcounter_coarse,Wu Coarse,68.189923
9702755,timer_coarse,Wu Coarse,68.400326
9702756,quantiseq_coarse,Wu Coarse,250.682366
9702757,xcell_coarse,Wu Coarse,72.358215
9702759,epic_course2,Wu Coarse,68.725503
9702760,cibersort_coarse,Wu Coarse,66.726918
9702965,REGGEN_LAB,Wu Coarse,724.004312
9703100,D3Team,Wu Coarse,1589.490362
9703780,mitten_TDC19,Wu Coarse,95.609261
9703855,CCB,Wu Coarse,131.291026
9703857,CCB,Wu Coarse,121.154111
9703863,DA_505,Wu Coarse,123.459073
9704103,NYIT_glomerular,Wu Coarse,91.209314
9704104,NYIT_glomerular,Wu Coarse,91.822766
9704131,Northwestern Polytechnical University,Wu Coarse,85.949599
9704171,Rubbernecks,Wu Coarse,105.374587
9704223,jdroz,Wu Coarse,661.059011
9704278,Biogem,Wu Coarse,89.574555
9704292,Aginome-XMU,Wu Coarse,99.679343
9704307,D3Team,Wu Coarse,1440.768765
9704315,IZI,Wu Coarse,5028.726363
9704316,Patrick,Wu Coarse,322.42981
9704330,Patrick,Wu Coarse,820.641798
9704345,Patrick,Wu Coarse,143.128106
9704365,Patrick,Wu Coarse,83.732397
9704377,Rubbernecks,Wu Coarse,817.49382
9704388,D3Team,Wu Coarse,91.994007
9704391,D3Team,Wu Coarse,98.184125
9704394,mitten_TDC19,Wu Coarse,38.542036
9704402,Aginome-XMU,Wu Coarse,352.019375
9704404,Aginome-XMU,Wu Coarse,217.504453
9704405,Aginome-XMU,Wu Coarse,369.724974
9704407,Aginome-XMU,Wu Coarse,5421.921965
9704408,Aginome-XMU,Wu Coarse,425.90261
9704412,DA_505,Wu Coarse,314.124605
9704455,ICTD,Wu Coarse,116.555674
9704483,Biogem,Wu Coarse,90.816256
9704617,Biogem,Wu Coarse,90.639953
9704644,Biogem,Wu Coarse,1500.21297
9704674,Biogem,Wu Coarse,85.429772
9704678,Biogem,Wu Coarse,83.266762
9704687,Aboensis IV,Wu Coarse,106.744773
9704691,Aginome-XMU,Wu Coarse,6555.737773
9704695,IZI,Wu Coarse,91.209754
