Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
Naive_B_cells_1	0.73217834286377304	0.08800231739604998	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06660724247188894	0.00000000000000000	0.01863636105762684	0.00000000000000000	0.00000000000000000	0.01658185887022577	0.00000000000000000	0.01518346359686403	0.02177941886178281	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01651543504060131	0.00000000000000000	0.00000000000000000	0.02451555984118736	0.00000000000000000	0.00000000000000000	0.83771159165694054	0.54568846747383704
Macrophages_2	0.01391749758684967	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00978076202414980	0.01664163267031648	0.02345639231758890	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03297685601654048	0.00000000000000000	0.20198474285871906	0.00000000000000000	0.05996195736558574	0.12491911204104832	0.36784527794964644	0.05810237463044890	0.00000000000000000	0.09041339453910617	0.00000000000000000	0.00000000000000000	0.56206300228919548	0.82710304884530805
Dendritic_cells_1	0.01083623659704625	0.00000000000000000	0.00000000000000000	0.00171658598191185	0.00000000000000000	0.01629750005751167	0.01432009280118138	0.02102753397807078	0.00000000000000000	0.00068246000122381	0.00000000000000000	0.00502232819149074	0.00000000000000000	0.12399433578723662	0.00000000000000000	0.18519745370173993	0.54662553230225719	0.03510428667258487	0.03237805184534522	0.00000000000000000	0.00679760208239967	0.00000000000000000	0.00000000000000000	0.60978919653455654	0.79581224015793750
CRC	0.09445203538110260	0.00000000000000000	0.00000000000000000	0.05950241690874997	0.00849037113794651	0.21363954379993183	0.10478084880352251	0.06790976155370815	0.00000000000000000	0.00000000000000000	0.16129600130993627	0.00000000000000000	0.09519210196214707	0.04707890410530247	0.01945354965584472	0.00000000000000000	0.00000000000000000	0.00957173784190061	0.00000000000000000	0.05821167877273146	0.06042104876717568	0.00000000000000000	0.00000000000000000	0.11710670574745213	1.04684629191548217
Macrophages_1	0.00191053527839594	0.00872721549761242	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00444896492073193	0.01538376632969892	0.02810860761084055	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02557855559708057	0.00000000000000000	0.18041612802613094	0.00000000000000000	0.08339016242623307	0.10626232269977336	0.37197235302323461	0.05480614381763881	0.00000000000000000	0.11899524477262889	0.00000000000000000	0.00000000000000000	0.56133206246861578	0.82760191950687167
Fibroblasts	0.04798952323417643	0.00000000000000000	0.00000000000000000	0.08186351941062663	0.00000000000000000	0.35451669058295565	0.02896211272053791	0.00000000000000000	0.00442404300989204	0.00000000000000000	0.12554179185961564	0.00000000000000000	0.06961055852431697	0.05081067234154055	0.01046531821586916	0.02498293383457042	0.03277070065866220	0.07999404720549960	0.00000000000000000	0.06749459157107338	0.01327228404827817	0.00730121278238520	0.00000000000000000	0.18508741492125236	1.01854108777605190
Endothelial_cells	0.09616128559240984	0.00000000000000000	0.00313486898673651	0.03557912220709362	0.00000000000000000	0.32069469120469563	0.02682510388219570	0.00000000000000000	0.02581166210958041	0.00000000000000000	0.13521199371912104	0.00000000000000000	0.05801098670037542	0.02816158986286139	0.03028897780327736	0.03820226019784049	0.03494436486718244	0.05573227561712959	0.00110670325683349	0.04911269315385139	0.05028472295636595	0.01073669788244969	0.00000000000000000	0.14212866732578294	1.03055917847605483
Memory_CD8_T_cells_1	0.00783709973622458	0.00000000000000000	0.00036953099370841	0.58675676773924879	0.00000000000000000	0.27835139561139144	0.02302468657771978	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.08087336240393633	0.00000000000000000	0.01316795034077638	0.00154660525933606	0.00000000000000000	0.00147506109100042	0.00086510897013229	0.00145801087204638	0.00000000000000000	0.00000000000000000	0.00427442040447907	0.00000000000000000	0.00000000000000000	0.83612099009488305	0.55924220751165554
Monocytes_1	0.00466981712027505	0.00504601595804700	0.00190284755469607	0.00589362189986218	0.02130906757302479	0.01153739172271782	0.01647958110742215	0.00011083267685489	0.00000000000000000	0.00000000000000000	0.04104073725125695	0.00000000000000000	0.73457513318485124	0.01359635311950614	0.00000000000000000	0.01002458867293332	0.00000000000000000	0.00912150526350290	0.00000000000000000	0.01241206997428139	0.11228043692076808	0.00000000000000000	0.00000000000000000	0.67387106426125809	0.74050128812172977
Neutrophils_2	0.02666772473955337	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02288563782591866	0.00000000000000000	0.00222244670008723	0.00802385038154440	0.00000000000000000	0.00738285167779351	0.03785339391097046	0.00000000000000000	0.00000000000000000	0.03641594231074536	0.00000000000000000	0.03054409070666775	0.00000000000000000	0.00717392076606067	0.01062982979379502	0.00000000000000000	0.00000000000000000	0.81020031118686353	0.00000000000000000	0.90214323907023297	0.44765190845461839
