Mixture	CD10	CD31	CD45	EPCAM	P-value	Correlation	RMSE
Naive_B_cells_1	0.00000000000000000	0.00000000000000000	0.99670709584614703	0.00329290415385294	0.00000000000000000	0.70083468281763228	0.86497642245435291
Macrophages_2	0.00000000000000000	0.00057459894045461	0.99810652136253586	0.00131887969700943	0.00000000000000000	0.51595383931073946	0.91206695356623790
Dendritic_cells_1	0.00000000000000000	0.00055280683442170	0.99939127863192978	0.00005591453364862	0.00000000000000000	0.54385507244317710	0.90499425220279750
CRC	0.00000000000000000	0.00000000000000000	0.02848771399621522	0.97151228600378470	0.00000000000000000	0.27035699518824341	0.96970083206075486
Macrophages_1	0.00002868796923778	0.00073466266423391	0.99249689472131852	0.00673975464520968	0.00000000000000000	0.53566641538410431	0.90754771421548963
Fibroblasts	0.55983198914738908	0.02219160519834255	0.02360601773788634	0.39437038791638218	0.00000000000000000	0.76994346638655031	0.68213844130617785
Endothelial_cells	0.02435579367430705	0.91623510801320673	0.00000000000000000	0.05940909831248632	0.00000000000000000	0.52258885219031059	0.87722136119351790
Memory_CD8_T_cells_1	0.00000000000000000	0.00028504508275071	0.99926442571553820	0.00045052920171107	0.00000000000000000	0.46717380011631043	0.92408144638201617
Monocytes_1	0.00000000000000000	0.00050389547329871	0.99949610452670123	0.00000000000000000	0.00000000000000000	0.56899815646710561	0.89864524405314183
Neutrophils_2	0.00000000000000000	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.48591282345111220	0.91942170981763971
Breast	0.00026552974645879	0.00000000000000000	0.03515552703848598	0.96457894321505533	0.00000000000000000	0.27876160958509005	0.96668875931801823
Dendritic_cells_2	0.00000000000000000	0.00036339183494533	0.99959126465649328	0.00004534350856137	0.00000000000000000	0.56011020774224363	0.90088888168599723
NK_cells_2	0.00000000000000000	0.00006920059759674	0.99993079940240315	0.00000000000000000	0.00000000000000000	0.44605201543561368	0.92923843959714925
Monocytes_2	0.00000000000000000	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.52000882719144603	0.91094204577665205
NK_cells_1	0.00000000000000000	0.00000000000000000	1.00000000000000000	0.00000000000000000	0.00000000000000000	0.48651684098343101	0.91927217143216089
Memory_CD8_T_cells_2	0.00000000000000000	0.00002287509996301	0.99997712490003698	0.00000000000000000	0.00000000000000000	0.57877483469060098	0.89613994137413355
Memory_CD4_T_cells_2	0.00000000000000000	0.00117106030977714	0.99640839313030594	0.00242054655991699	0.00000000000000000	0.41310132233085972	0.93738832300151276
Naive_CD4_T_cells_1	0.00000000000000000	0.00020438767924611	0.99979561232075387	0.00000000000000000	0.00000000000000000	0.53743389586296686	0.90658700733316222
Tregs	0.00000000000000000	0.00000000000000000	0.99947686368249766	0.00052313631750234	0.00000000000000000	0.43361213451846708	0.93230340416980406
Memory_CD4_T_cells_1	0.00000000000000000	0.00004795991232728	0.99960831279175644	0.00034372729591630	0.00000000000000000	0.54366408746963535	0.90504052835026394
Naive_CD8_T_cells_2	0.00000000000000000	0.00000000000000000	0.99882340076005383	0.00117659923994607	0.00000000000000000	0.37771270956093528	0.94586613917832729
Naive_CD4_T_cells_2	0.00000000000000000	0.00104944528407258	0.99635658281837847	0.00259397189754896	0.00000000000000000	0.49742964927726341	0.91676586298020857
