GSM,GSE,GPL,val,technology,title,ReadLength,cell.type,ReadsType
GSM2247739,GSE84691;GSE84692,GPL11154,monocytes,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),51,monocytic.lineage,PAIRED
GSM2247736,GSE84691;GSE84692,GPL11154,monocytes,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),51,monocytic.lineage,PAIRED
GSM2247738,GSE84691;GSE84692,GPL11154,monocytes,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),51,monocytic.lineage,PAIRED
GSM2247737,GSE84691;GSE84692,GPL11154,monocytes,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),51,monocytic.lineage,PAIRED
GSM2302915,GSE86452,GPL16791,CD161- Treg,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),54.08171876,regulatory.T.cells,PAIRED
GSM2302911,GSE86452,GPL16791,CD161+ Treg,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),54.27227099,regulatory.T.cells,PAIRED
GSM2302922,GSE86452,GPL16791,CD161+ Treg,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),54.88448938,regulatory.T.cells,PAIRED
GSM2995097,GSE110513,GPL16791,cDC,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),56,myeloid.dendritic.cells,PAIRED
GSM2995105,GSE110513,GPL16791,cDC,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),56,myeloid.dendritic.cells,PAIRED
GSM2995099,GSE110513,GPL16791,cDC,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),56,myeloid.dendritic.cells,PAIRED
GSM2995104,GSE110513,GPL16791,cDC,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),56,myeloid.dendritic.cells,PAIRED
GSM2995098,GSE110513,GPL16791,cDC,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),56,myeloid.dendritic.cells,PAIRED
GSM2995103,GSE110513,GPL16791,cDC,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),56,myeloid.dendritic.cells,PAIRED
GSM2302912,GSE86452,GPL16791,CD161- Treg,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),56.47145643,regulatory.T.cells,PAIRED
GSM2302918,GSE86452,GPL16791,CD161+ Treg,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),57.2078169,regulatory.T.cells,PAIRED
GSM2302919,GSE86452,GPL16791,CD161- Treg,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),57.37376155,regulatory.T.cells,PAIRED
GSM2302923,GSE86452,GPL16791,CD161- Treg,high-throughput sequencing,Illumina HiSeq 2500 (Homo sapiens),58.08261114,regulatory.T.cells,PAIRED
GSM2717627,GSE101878,GPL18573,RNASEQ_mDCs_ZBK6_48h_uninfected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717626,GSE101878,GPL18573,RNASEQ_mDCs_ZBK6_24h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717622,GSE101878,GPL18573,RNASEQ_mDCs_ZBK5_24h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717625,GSE101878,GPL18573,RNASEQ_mDCs_ZBK6_24h_uninfected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717621,GSE101878,GPL18573,RNASEQ_mDCs_ZBK5_24h_uninfected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717628,GSE101878,GPL18573,RNASEQ_mDCs_ZBK6_48h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717624,GSE101878,GPL18573,RNASEQ_mDCs_ZBK5_48h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717620,GSE101878,GPL18573,RNASEQ_mDCs_ZBK4_48h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717618,GSE101878,GPL18573,RNASEQ_mDCs_ZBK4_24h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717619,GSE101878,GPL18573,RNASEQ_mDCs_ZBK4_48h_uninfected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717617,GSE101878,GPL18573,RNASEQ_mDCs_ZBK4_24h_uninfected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717616,GSE101878,GPL18573,RNASEQ_mDCs_ZBK2_48h_uninfected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717615,GSE101878,GPL18573,RNASEQ_mDCs_ZBK2_48h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717608,GSE101878,GPL18573,RNASEQ_mDCs_BK78_48h_uninfected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717607,GSE101878,GPL18573,RNASEQ_mDCs_BK78_48h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717603,GSE101878,GPL18573,RNASEQ_mDCs_BK78_12h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717623,GSE101878,GPL18573,RNASEQ_mDCs_ZBK5_48h_uninfected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717605,GSE101878,GPL18573,RNASEQ_mDCs_BK78_24h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM2717613,GSE101878,GPL18573,RNASEQ_mDCs_ZBK2_24h_infected,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,myeloid.dendritic.cells,PAIRED
GSM3045785,GSE111968,GPL18573,CD4+ C45RA- CXCR5- IL4+,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,CD4.T.cells,PAIRED
GSM3045786,GSE111968,GPL18573,CD4+ C45RA- CXCR5- IL4+,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,CD4.T.cells,PAIRED
GSM3045783,GSE111968,GPL18573,CD4+ CD45RA+,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,naive.CD4.T.cells,PAIRED
GSM3045789,GSE111968,GPL18573,CD4+ C45RA- CXCR5+ PD1+ IL4-,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,CD4.T.cells,PAIRED
GSM3045787,GSE111968,GPL18573,CD4+ C45RA- CXCR5+ IL4+,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,CD4.T.cells,PAIRED
GSM3045784,GSE111968,GPL18573,CD4+ CD45RA+,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,naive.CD4.T.cells,PAIRED
GSM3045788,GSE111968,GPL18573,CD4+ C45RA- CXCR5+ IL4+,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,CD4.T.cells,PAIRED
GSM3045790,GSE111968,GPL18573,CD4+ C45RA- CXCR5+ PD1+ IL4-,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),70,CD4.T.cells,PAIRED
GSM1915593,GSE74246;GSE75384,GPL18573,CD4+ T cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,CD4.T.cells,PAIRED
