"","samplename","platform","label","obervations","batch","bigfamily","family","celltype","coarsegrain","finegrain","treatment","In","In_opt","In_opt2","FINAL"
"memory.B.cell...donor.a","memory.B.cell...donor.a","not_known","memory.B.cell","healthy","bloodatlas","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","No","Train","Train","Train"
"memory.B.cell...donor.b","memory.B.cell...donor.b","not_known","memory.B.cell","healthy","bloodatlas","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","No","Train","Train","Train"
"memory.B.cell...donor.c","memory.B.cell...donor.c","not_known","memory.B.cell","healthy","bloodatlas","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","No","Train","Train","Train"
"memory.B.cell...donor.d","memory.B.cell...donor.d","not_known","memory.B.cell","healthy","bloodatlas","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","No","Train","Train","Train"
"memory.B.cell...donor.e","memory.B.cell...donor.e","not_known","memory.B.cell","healthy","bloodatlas","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","No","Train","Train","Train"
"memory.B.cell...donor.f","memory.B.cell...donor.f","not_known","memory.B.cell","healthy","bloodatlas","Immune","B","memory.B.cells","B.cells","memory.B.cells","no","No","Train","Train","Train"
"naive.B.cell...donor.a","naive.B.cell...donor.a","not_known","naive.B.cell","healthy","bloodatlas","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","No","Train","Train","Train"
"naive.B.cell...donor.b","naive.B.cell...donor.b","not_known","naive.B.cell","healthy","bloodatlas","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","No","Train","Train","Train"
"naive.B.cell...donor.c","naive.B.cell...donor.c","not_known","naive.B.cell","healthy","bloodatlas","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","No","Train","Train","Train"
"naive.B.cell...donor.d","naive.B.cell...donor.d","not_known","naive.B.cell","healthy","bloodatlas","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","No","Train","Train","Train"
"naive.B.cell...donor.e","naive.B.cell...donor.e","not_known","naive.B.cell","healthy","bloodatlas","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","No","Train","Train","Train"
"naive.B.cell...donor.f","naive.B.cell...donor.f","not_known","naive.B.cell","healthy","bloodatlas","Immune","B","naive.B.cells","B.cells","naive.B.cells","no","No","Train","Train","Train"
"memory.CD4.T.cell...donor.a","memory.CD4.T.cell...donor.a","not_known","memory.CD4.T.cell","healthy","bloodatlas","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","No","Train","Train","Train"
"memory.CD4.T.cell...donor.b","memory.CD4.T.cell...donor.b","not_known","memory.CD4.T.cell","healthy","bloodatlas","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","No","Train","Train","Train"
"memory.CD4.T.cell...donor.c","memory.CD4.T.cell...donor.c","not_known","memory.CD4.T.cell","healthy","bloodatlas","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","No","Train","Train","Train"
"memory.CD4.T.cell...donor.d","memory.CD4.T.cell...donor.d","not_known","memory.CD4.T.cell","healthy","bloodatlas","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","No","Train","Train","Train"
"memory.CD4.T.cell...donor.e","memory.CD4.T.cell...donor.e","not_known","memory.CD4.T.cell","healthy","bloodatlas","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","No","Train","Train","Train"
"memory.CD4.T.cell...donor.f","memory.CD4.T.cell...donor.f","not_known","memory.CD4.T.cell","healthy","bloodatlas","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no","No","Train","Train","Train"
"naive.CD4.T.cell...donor.a","naive.CD4.T.cell...donor.a","not_known","naive.CD4.T.cell","healthy","bloodatlas","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","Train","Train","Train"
"naive.CD4.T.cell...donor.b","naive.CD4.T.cell...donor.b","not_known","naive.CD4.T.cell","healthy","bloodatlas","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","Train","Train","Train"
"naive.CD4.T.cell...donor.c","naive.CD4.T.cell...donor.c","not_known","naive.CD4.T.cell","healthy","bloodatlas","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","Train","Train","Train"
