method.name	subchallenge	submission	exec.time.seconds
Aboensis IV	coarse	1	76.974781
Aboensis IV	coarse	2	79.665758
Aboensis IV	coarse	3	78.867939
Aboensis IV	fine	1	83.299388
Aboensis IV	fine	2	78.129381
Aboensis IV	fine	3	77.092995
Aginome-XMU	coarse	1	79.799465
Aginome-XMU	coarse	2	76.758825
Aginome-XMU	fine	1	115.60897
Aginome-XMU	fine	2	112.341718
Aginome-XMU	fine	3	286.439636
Biogem	coarse	1	81.575444
Biogem	coarse	2	79.466928
Biogem	coarse	3	82.479318
Biogem	fine	1	84.266028
Biogem	fine	2	81.8604
Biogem	fine	3	80.770936
Cancer_Decon	coarse	1	1274.608736
Cancer_Decon	fine	1	1335.006829
CancerSysBio	coarse	1	94.488509
CCB	coarse	1	92.850193
CCB	coarse	2	90.80781
CCB	fine	1	155.956475
CCB	fine	2	153.022324
CIBERSORT	coarse	1	132.536851
CIBERSORT	fine	1	131.21906
CIBERSORTx	coarse	1	566.56002
CIBERSORTx	fine	1	566.56002
D3Team	coarse	1	4289.49223
D3Team	coarse	2	6931.249404
D3Team	coarse	3	5169.67709
D3Team	fine	1	6016.809488
D3Team	fine	2	7603.748455
D3Team	fine	3	7136.560409
DA_505	coarse	1	91.813422
DA_505	coarse	2	90.312002
DA_505	coarse	3	95.567136
DA_505	fine	1	89.87714
DA_505	fine	2	94.449087
DA_505	fine	3	155.925419
EPIC	coarse	1	71.408992
EPIC	fine	1	70.335935
HM159	coarse	1	829.623206
ICTD	coarse	1	1279.424012
ICTD	fine	1	1331.628156
IZI	coarse	1	11388.65305
IZI	coarse	2	13638.03391
IZI	coarse	3	16466.76386
IZI	fine	1	25975.57682
IZI	fine	2	31875.1498
IZI	fine	3	48357.95852
jbkcose	coarse	1	973.927126
jdroz	coarse	1	459.431273
jdroz	coarse	2	462.267586
LeiliLab	coarse	1	85.255356
LeiliLab	coarse	2	1529.691658
LeiliLab	fine	1	785.692263
LeiliLab	fine	2	1317.885777
MCP-counter	coarse	1	69.73555
MCP-counter	fine	1	65.861102
mitten_TDC19	coarse	1	86.394379
mitten_TDC19	coarse	2	85.897103
mitten_TDC19	coarse	3	85.675784
mitten_TDC19	fine	1	87.716293
mitten_TDC19	fine	2	85.905283
mitten_TDC19	fine	3	88.413939
NPU	coarse	1	80.900233
NPU	fine	1	79.744176
NYIT_glomerular	coarse	1	171.332403
NYIT_glomerular	coarse	2	65.179915
Patrick	coarse	1	684.731199
Patrick	fine	1	747.932893
quanTIseq	coarse	1	252.951688
quanTIseq	fine	1	253.534223
REGGEN_LAB	coarse	1	2204.910929
REGGEN_LAB	fine	1	1357.344427
Rubbernecks	coarse	1	147.080331
Rubbernecks	coarse	2	972.601622
Rubbernecks	fine	1	237.667366
Rubbernecks	fine	2	1824.857915
TIMER	coarse	1	131.777746
TIMER	fine	1	131.571287
TJU	coarse	1	131.689722
Tonys Boys	fine	1	956.989077
xCell	coarse	1	70.060135
xCell	fine	1	74.190179
