title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	relation	cell type:ch1	time post-treatment:ch1	tissue:ch1	treatment agent:ch1
CD8Tcell-N0-1 [HG-U133A]	GSM565269	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD8+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD8+ T cells	treatment agent: NA	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting CD8+ T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565269/suppl/GSM565269.CEL.gz	22283	Reanalyzed by: GSE86363	CD8+ T cells	NA	peripheral blood	NA
CD8Tcell-N0-2 [HG-U133A]	GSM565270	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD8+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD8+ T cells	treatment agent: NA	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting CD8+ T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565270/suppl/GSM565270.CEL.gz	22283	Reanalyzed by: GSE86363	CD8+ T cells	NA	peripheral blood	NA
CD8Tcell-N0-3 [HG-U133A]	GSM565271	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD8+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD8+ T cells	treatment agent: NA	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting CD8+ T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565271/suppl/GSM565271.CEL.gz	22283	Reanalyzed by: GSE86363	CD8+ T cells	NA	peripheral blood	NA
CD8Tcell-N0-4 [HG-U133A]	GSM565272	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD8+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD8+ T cells	treatment agent: NA	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting CD8+ T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565272/suppl/GSM565272.CEL.gz	22283	Reanalyzed by: GSE86363	CD8+ T cells	NA	peripheral blood	NA
CD4Tcell-N0-1 [HG-U133A]	GSM565273	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: NA	time post-treatment: control	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting CD4+ T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565273/suppl/GSM565273.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	control	peripheral blood	NA
CD4Tcell-N0-2 [HG-U133A]	GSM565274	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: NA	time post-treatment: control	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting CD4+ T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565274/suppl/GSM565274.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	control	peripheral blood	NA
CD4Tcell-N0-3 [HG-U133A]	GSM565275	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: NA	time post-treatment: control	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting CD4+ T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565275/suppl/GSM565275.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	control	peripheral blood	NA
CD4Tcell-Th1-restimulated12hour-1 [HG-U133A]	GSM565276	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 12 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th1-polarized cells 12 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565276/suppl/GSM565276.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	12 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th1-restimulated12hour-2 [HG-U133A]	GSM565277	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 12 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th1-polarized cells 12 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565277/suppl/GSM565277.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	12 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th1-restimulated48hour-1 [HG-U133A]	GSM565278	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 48 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th1-polarized cells 48 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565278/suppl/GSM565278.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	48 hrs	peripheral blood	aCD3/aCD28
